	mse	rho
一角钱	0.8174904559769329	0.40228611084717064
三文鱼	0.7025289266052022	0.7085995579004762
下颌	0.6205420619000672	0.5333626022984246
专利	0.767487701104245	0.648141408225929
丛林	0.2602187022935839	0.8329606728550601
丢失	0.5191453101163023	0.5124817523830264
主题	0.456127653615567	0.7330664601183474
乌鸦	1.003332842864832	0.4583297030189319
乌龟	0.8587056519424037	0.3900820797507895
乐观主义	0.702633547187875	0.5669923390925232
乐趣	0.5566314647379306	0.8681799324450927
习惯的	0.36955227975142463	0.599862678858288
书	0.8195049123851122	0.6687419801678951
书桌	0.419807964361251	0.834690115352311
买	0.9678342048278626	0.6207251085067731
事故	1.2129598374106858	0.7345561009530156
二胡	0.7509405924380721	0.6885586223317697
云	1.27838080324347	0.022393079057403724
交响乐	1.153996466292387	0.5344135776590602
仁慈	0.42397789538455766	0.6453387950365045
仓鼠	1.226519366116509	0.30962368299690796
价值	0.8116268628980449	0.6732285080496322
企鹅	0.5190145570546796	0.5445481039331187
休战	1.193802955063049	0.10408901717184113
优势	1.4020789876267818	0.4238296579300134
会议	0.5019727791428067	0.6534031822359883
伪证	0.4713264199210802	0.6540692405862735
作者	0.9138267080326105	0.5119712709299105
使用	0.3561468110214775	0.5832908972739853
侮辱	0.2606406308877078	0.8799672896302466
信仰	0.8189195703240172	0.5732663473660234
信任	0.7513945703607152	0.7168295244520774
修理	0.8760092618846173	0.29084267088336674
借口	0.7336698886073224	0.6177141450694795
倾盆大雨	0.5624212254589475	0.6619508574329058
假期	0.49368083252975165	0.6313851446511305
偷窃	0.6480275512786691	0.17864765811983574
储物柜	0.3749410193227589	0.7538846769361985
公共汽车	0.3488880313896189	0.823194142529284
公司	0.6277848692241036	0.5785496654488785
公园	0.6685469351871096	0.8901168888906238
公寓	0.6307375072596104	0.756050529263638
内疚	0.5428272761640144	0.823378129267378
写下	0.7381244868674047	0.5969321933911423
军队	0.43275570237270267	0.6838505339093447
农场	0.39283614391340577	0.7925637171459889
农民	0.9735373112039166	0.6701546336158514
冬天	0.7445195419105783	0.5427984435106333
冰	0.365292863671321	0.4052094893141946
冰雹	0.5901572613180021	0.7516990687514291
冷落	0.5668899446774481	0.5485369396181314
出租车	0.5821417691025043	0.7409323475285661
创立	0.8672188454076959	0.6755536517683909
剧院	0.494844012912528	0.8214949718429918
剪刀	0.5801629394191192	0.6512636718099087
力量	0.5345292893964713	0.6102038769368702
办公室	0.3511570439829581	0.6196984285250537
动机	1.291756509769323	0.503786279811248
动物园	0.8438997509292153	0.5478255230647338
动词	0.8588803359083181	0.14303067744830733
劳动	0.34016047291224355	0.6802234729525465
区域	0.44079134438761663	0.5045691566561614
医生	0.4676993939715197	0.7316545831833483
医院	0.6903071869161571	0.8844462140996413
午后场	0.3644603955218689	0.7144716920255927
协商	0.35288467735305773	0.7564526291400764
协议	0.5260183878318013	0.7593020355928378
单簧管	0.7223172511678484	0.654904316736609
南瓜	0.862398874094283	0.8156064510643593
卡车	0.6761209332311123	0.5391804274543117
卫生	1.057751253628937	0.5182781899780087
危险的	0.3000726555786328	0.8261257434585504
卷心菜	0.5296841826386267	0.7615094584386151
