	mse	rho
一角钱	0.8027413076388555	0.5384278460564775
三文鱼	0.44532323333069174	0.7377469198621388
下颌	0.7054847439517763	0.687451628152905
专利	2.137255487912863	0.6735019371965888
丛林	0.4173906005199765	0.6793820872577662
丢失	0.6494753199626571	0.4830751448712008
主题	0.6101865739585264	0.6773809009695211
乌鸦	0.5344874427682279	0.7127949153908817
乌龟	0.730172370063708	0.4290873637915326
乐观主义	0.703636907680931	0.7133751987880966
乐趣	0.7087826641833508	0.8091612360273606
习惯的	0.26176715723812777	0.7130807287017827
书	1.5711068976691671	0.43268445003826
书桌	0.8391202859770914	0.5736083073145312
买	1.446546334319874	0.31615279129683993
事故	0.8603827415993658	0.8059919813688035
二胡	0.9428848001846442	0.7109766740903428
云	1.0647048334729812	0.5550618695338441
交响乐	0.5551138054564688	0.502595586387688
仁慈	0.8890825184314082	0.6157446831742178
仓鼠	1.611061460116914	0.4175959179625057
价值	0.4471869129351807	0.647693968903465
企鹅	0.4931504749297591	0.33368925165826446
休战	1.206386750116429	0.38176693741930606
优势	1.308098670948747	0.4613338617457392
会议	0.39868268653149	0.5147936477162863
伪证	0.6880020256972892	0.5653194160809625
作者	0.8322134021620873	0.7046219119067911
使用	0.7680046617381767	0.398590400042615
侮辱	0.4406271776026627	0.8757289485906722
信仰	1.3074203956086374	0.5026020898393161
信任	0.8165549423235524	0.7467692982024925
修理	0.9543866570544497	0.3225023967419139
借口	0.8699552289264711	0.6199357178039712
倾盆大雨	0.7559508612632603	0.661746244874307
假期	0.6428667367734472	0.7893630059343599
偷窃	1.0540300554721145	0.3631128393890492
储物柜	0.5868027325538372	0.7083364422960079
公共汽车	0.5723206101740684	0.7001783766369146
公司	0.8568301613825327	0.6162347692319703
公园	0.546043057612424	0.7832595930588157
公寓	0.9518647580849469	0.7307962318352076
内疚	0.7171024244557874	0.7256039859751284
写下	1.4205975148975942	0.5543192484734113
军队	0.3523273444826198	0.6610136045475968
农场	0.4253501210188964	0.8029406486052654
农民	1.0355133786058792	0.5788150824099225
冬天	0.4478000457270153	0.6206293874799079
冰	0.42769307210525737	0.5243079280607517
冰雹	0.622099475613505	0.722965199386728
冷落	0.5867631145802065	0.4332540855740264
出租车	1.0769268645593844	0.47333041569267986
