	mse	rho
accident	0.7740021755357692	0.7719201170396486
accordion	0.6077198614484172	0.8575479947656118
activist	0.8434529650263909	0.8116294318961136
actor	1.2796754725957926	0.7075245991925039
advantage	0.8166681934521945	0.6359467925771836
advice	1.297456983274222	0.6036051137188883
aggressive	1.0893716394964674	0.6691417624061651
agreement	0.7337666775023256	0.7343025262585344
airport	1.0356938854723676	0.581369591067631
alligator	1.6235885131383363	0.6711876529353697
ambulance	1.7794927760118862	0.5811204014329491
analogy	1.2638453613477187	0.5208274968085241
angry	1.0000453489963184	0.765241591689003
animosity	1.66082905825707	0.589946902588533
ant	1.9690677192065036	0.5557131387426872
apartment	1.1625580224872527	0.6287664501305437
apology	0.7281526462882479	0.7940212611451876
applause	1.6986744030179164	0.6882655205383806
approached	2.593034711180685	0.595168173076989
apricot	0.6906838049256914	0.7545215380362563
arm	0.6667250186490452	0.7947549442347603
army	2.0953941577465374	0.8017711340550022
arrested	1.8705123715115464	0.6918625232997105
artist	1.0130984102128369	0.7007600416312053
asparagus	0.7317645755810308	0.8078345223937157
ate	1.8414023751572055	0.5461347420582535
attribute	2.2153362484925663	0.42155296921922275
audience	1.3529130803676084	0.7456953793684782
author	1.1720295661499358	0.833825406655969
avalanche	2.2763540878202617	0.6030080583952546
awe	1.0952018907524181	0.594858637051489
axe	1.2260754555333786	0.7396471992277436
bagpipe	1.5015755618462456	0.7092031231907587
ball	1.2460388664579543	0.7687450959580762
banana	1.8834138256576236	0.6588546462891912
banjo	0.8431471027152582	0.8383240520600075
banker	1.0557675343171022	0.7255584936037639
bar	1.082986284125082	0.6698429097743924
barbecue	0.9765399661537726	0.704532072836807
baseball	1.50002027715538	0.6383570267373714
battle	1.8485751976041565	0.5843734673584144
bay	0.481774339431878	0.8152425530989788
beach	0.9574519918150797	0.7444165565606375
bed	1.3770334718772785	0.6217780147015494
bee	3.3108972951383824	0.3425548456459946
beer	1.4109210726474788	0.6281279619406409
belch	3.952995689330898	-0.06251097292811279
belief	1.3959086538984122	0.7013608383611948
bell	2.268842270457766	0.6392247435223167
bicycle	1.3932070899292095	0.7279876500306129
big	1.4459166697633667	0.40373272176081154
bird	0.9538706867789936	0.8011051155224292
black	0.9014450993471899	0.4116559164434577
blocked	0.5279192200337539	0.7376174905769564
blue	0.7240736304403993	0.34869200146845625
blueberry	0.6341466329967504	0.7971317306772009
boat	0.678631285835224	0.8270015799112416
bonfire	1.473268465752044	0.5729108938199713
book	2.2895714690511038	0.5565871845999275
bought	2.8957032331410133	0.2750807924709939
boy	0.8561662844284368	0.7563135948618508
bread	0.9491933414333232	0.7662286649508842
bribe	1.1295799285935622	0.7292055091008228
bridge	0.9889657685942751	0.7422281727900574
broccoli	1.477259946895436	0.5497089556378703
broke	1.919310469428557	0.5900580598559345
bugle	1.9228067186811497	0.5613369138037372
built	0.5433127069605643	0.7995557497120077
bus	1.4969266409604765	0.6020814215167049
business	0.5202854559259977	0.7981172228128054
