	mse	rho
accident	0.6729431908744756	0.8424853142424248
accordion	0.504863240639282	0.813377037885065
activist	0.6960067436064576	0.8948299996725189
actor	0.8446758191732306	0.7829163250660512
advantage	1.2519699510189826	0.5939119299548111
advice	0.8322656001988398	0.7189132937075523
aggressive	0.7874407279872391	0.7298000916762739
agreement	0.316057787594965	0.8332517164970963
airport	0.8663804909665996	0.7686686053695442
alligator	1.7679421097555839	0.5604630283678592
ambulance	1.4979441917522098	0.7714949889553473
analogy	1.003223897076864	0.5069036614543619
angry	0.8723476584061458	0.809296261004636
animosity	0.8162275538090081	0.8363941142374131
ant	2.061042121292105	0.4370514716293952
apartment	0.8612915410958188	0.7575240849695628
apology	0.5751861091211341	0.8481378000900224
applause	1.3242615354769207	0.7617784095690229
approached	1.5711113368864917	0.5932681715421919
apricot	0.805441700678202	0.6241780448808899
arm	0.6004941429745645	0.8684034636964593
army	1.483811102560899	0.826379864229402
arrested	0.8445106097569764	0.8255290767027345
artist	1.0707606492203996	0.6137679303437374
asparagus	0.7760859466742897	0.6614794213422669
ate	0.45267230998056807	0.9127575722187337
attribute	0.9156593018740506	0.5947646022848223
audience	1.405412630771201	0.7741106180679513
author	1.3051330841635511	0.8005320203353791
avalanche	1.4237985520196696	0.7937501362035269
awe	1.1078833154256555	0.6691354854641959
axe	0.9576417726279745	0.6957068932815264
bagpipe	1.1255479805596227	0.6240426178997459
ball	1.1441869973133636	0.7076444413350719
banana	0.7595713280456313	0.8130239845631597
banjo	0.31556835347667556	0.8457221470466196
banker	0.6802267557667696	0.7883874093774066
bar	0.861253755644761	0.7224260312424786
barbecue	1.2639063301099176	0.638404503544432
baseball	2.4699636610581823	0.5505920716530761
battle	1.2403937189935466	0.7626786969945853
bay	0.5238037840841945	0.7471278348173198
beach	0.7407741625811852	0.8275550088228977
bed	0.9826671213837538	0.7010512000284741
bee	2.2425691202547635	0.5555994079253167
beer	0.8904654479331414	0.7022042059745955
belch	2.121085822198324	0.5023098760079411
belief	0.942684978474793	0.8105143860903686
bell	0.9337426761089199	0.8075894953149086
bicycle	1.0324201720436563	0.8084366727541501
big	0.9418097384201627	0.39522046107160735
bird	0.990330962428045	0.772367884979841
black	0.5230545473361632	0.660745211731699
blocked	0.9769290035932463	0.6709440015337214
blue	1.001450018652198	0.39696649826808006
blueberry	0.6921343591073247	0.8094917244435801
boat	0.5299873398581447	0.8893307431030815
bonfire	1.3323361884831226	0.7343407630392818
book	0.8752854881660929	0.7542509286448716
bought	1.4479859864252167	0.5493722150411782
boy	0.4296200376280233	0.8497603412492263
bread	0.9108119642416623	0.7827575257642236
bribe	1.4470543028553655	0.7293224767407316
bridge	0.565384417883591	0.8232389312371379
broccoli	1.4437114743840218	0.8080648450945184
broke	1.3522487314379936	0.5417075009754928
bugle	0.9476091824678795	0.8519175081042653
built	1.2226429091979023	0.695884736251396
bus	0.921414572497486	0.8707320460913077
business	0.6328430943723721	0.7695817107069626
businessman	0.2803383515859684	0.9172099940287753
butterfly	1.3853488266435383	0.5250875735225321
cab	0.8128048483343667	0.7651228624268838
cabbage	0.5922955552808705	0.7521332533932378
cabinet	2.282120427430029	0.05064442765972398
cafeteria	0.6299973745276796	0.7560085252582848
camel	1.6358880550944217	0.6403308955609108
camera	1.792246564134536	0.36371347057677306
car	1.0037702497031196	0.8087799137071277
carnival	0.63862403284335	0.8216603683398636
carriage	0.7403195450968393	0.7511516600916316
carried	1.1365010835497336	0.7125170569003386
carrot	0.635837911741088	0.7235461281379757
cash	2.1808171695938556	0.5246444588283722
cathedral	0.26007863844740037	0.8564621347529512
celebrated	1.0247474697803403	0.7643044241571729
cellphone	1.6788952153537506	0.7651427037666652
chair	2.218909109634491	0.3987239467075336
cheese	0.3518016959823705	0.7894493526132415
cheetah	1.4143240162093786	0.57588379895589
cherry	0.4118260726768059	0.8005040550438999
chestnut	1.1624719198801605	0.525483058202506
chicken	0.9418611736363642	0.7346944967565602
child	1.233422600203407	0.6419500587114538
chime	1.2223384441151515	0.7881436814338244
chipmunk	1.092801140053547	0.5563692544227796
chocolate	0.5993667963570726	0.8371912857954117
choir	1.1614776818060455	0.8393856658061336
church	0.47073345952241513	0.7305252949290463
circus	0.6048849432403606	0.8786997880212798
clang	1.608055232128431	0.5834554613512957
clarinet	0.7553702517524848	0.77775507561346
clever	0.5313951829424421	0.7809875558206519
cloud	1.023632862761476	0.6980896886030479
clue	1.2933570729693808	0.44299824096344653
coffee	1.091986526037498	0.8598975531846543
cold	1.2665695517938633	0.49060369670172593
college	1.2395391830655014	0.6404807156133964
comb	0.5377387610347403	0.7505964756880673
commander	1.333827372174989	0.7283599738111614
company	1.8462530085046671	0.4532345479684809
computer	1.4546370074469372	0.5878725171580641
corkscrew	2.0715295648629457	0.6022543751981976
corn	0.607901736714587	0.8514620282581925
cough	1.4365510565011663	0.5591791296296068
council	1.1452719629013304	0.685541436006421
couple	1.1910861937086532	0.7677465464010493
court	0.4517363784118763	0.8075242637641645
cranberry	0.8820862489282538	0.6427927424436916
crib	0.9717120625931652	0.7427341346289473
criminal	1.3589276577049	0.7857008791767257
crossed	1.1364586718157959	0.6337256878063778
crow	1.3214416435223173	0.5914970294953552
cucumber	0.7790213086731665	0.8115579465131281
curse	0.3360711063537621	0.818193046030991
cyclone	0.5956811176154191	0.8633442415309209
damaged	0.41994798239839776	0.7873136846158129
dandelion	1.507457985428456	0.6635332511488446
dangerous	0.606029881729537	0.6642789247628522
dark	0.9323173532382977	0.3709758294654234
day	0.7613386977256323	0.6304218353163148
dead	1.0641419116042934	0.5782664936085274
debate	0.933463776872503	0.6187407103135774
deceit	0.9700542858126571	0.7124931736765622
delirium	1.7452639526443854	0.4605867581241498
delivered	1.301722087536299	0.6442606587796845
denial	0.5356477710823698	0.8159686780306744
desk	0.5170896156039598	0.7760743194019778
destroyed	0.49612427759488753	0.8116512221927087
dictation	0.9074582392667602	0.7099208721000948
dime	1.8462934399266686	0.6392409542262115
dinner	0.9904106491807335	0.7645419258748658
diplomat	0.8526619536711203	0.7527737443839988
doctor	0.6369837412799303	0.7778135380538415
dog	0.5861037216651861	0.8577233066570321
dolphin	1.0072306806207134	0.8018359708261573
door	0.9648922879594211	0.6258906373319242
downpour	1.1024813237800506	0.7280755283854407
drank	0.8734996597548287	0.8030990393622895
dread	0.37098220616864647	0.7367963135753227
drew	1.661004995719131	0.6718419765658892
driver	1.1627988783617456	0.8021515928538737
dropped	2.22548566625287	0.34126164835414274
drum	0.837370694464471	0.7628471533162126
duck	0.6442914612144894	0.8040597677956535
dusty	0.9123675004188946	0.33345553571429415
editor	0.7925559071992037	0.7575126201974028
egg	0.9493597846240579	0.7338776072918566
eggplant	3.0553310783516783	0.739585058816976
election	2.465352403048884	0.4078387870724653
elephant	0.5774100810624248	0.8759647405199099
elevator	0.7199729689634111	0.8136411542176811
elm	1.9865718283821876	0.6592084987521638
embassy	1.081364236181918	0.6858894896515115
embrace	1.6455568626425567	0.6307434492755244
empty	0.5837884068695998	0.5219100735445569
ended	0.8073550826966075	0.5967575394599094
engineer	0.42736141190579974	0.8031760626184173
envy	0.8540055535398448	0.681885572834864
era	1.0603503640727123	0.5030319226996735
escalator	1.0661296035934165	0.6211594566732564
etiquette	0.9961200702422465	0.6619575231491072
evening	0.4497862386937252	0.7617302971514381
excuse	1.4219703249507993	0.73425305746333
expensive	1.1866224845057507	0.243528395639447
explosion	1.05546082906444	0.8818981539850526
eye	1.1234111642846494	0.6897773226845554
fallacy	0.7106923384802845	0.6457769395927684
family	1.9623369182519161	0.6437309290658335
famous	1.2890991698314218	0.5398593375201318
farm	0.32494286797703353	0.7585291624875831
farmer	0.869237373813416	0.7453406018977062
fate	0.7453339854826746	0.7560617558742476
faucet	2.9111277027484856	0.41079197317630295
feared	0.8863362543082471	0.708542216513551
feather	0.6241492054357495	0.7357279290131564
fed	1.2745062528224809	0.7447965846476311
fee	1.0619249527799905	0.6699180965947935
fence	0.7763721135155411	0.6433983980219236
festival	0.827732130355493	0.7841441081163377
fiddle	0.5400391276855041	0.8779719504857045
field	1.0520574635369446	0.7426143028069644
finger	0.7990020402228158	0.6669884181437837
fireworks	1.1115022426970855	0.8391850227439052
fish	0.625916106214381	0.8207828342831248
fixed	1.7799787650872758	0.3833754744180541
flew	0.8041350517764837	0.770467661190148
flood	1.6031995003832458	0.6988524681354128
flower	0.7134704949247526	0.8369599424800259
flute	0.5326727163089026	0.8076958060499596
folly	0.6395322416930278	0.7016889028027063
foot	1.2618515010315587	0.6516121825368333
football	1.7373029397006745	0.4022276432778301
forest	0.5185452588710701	0.7132289913772941
found	1.2226072482198163	0.5621035690637821
fountain	0.8120712373859194	0.7830362768682182
friendly	1.5865949807932087	0.5092048382510428
fun	0.5322543044475838	0.7873180570330438
funeral	1.9093851102426473	0.6108789184652519
garden	0.5522076752004563	0.8505420250637428
gasp	1.531275455520802	0.33603020806242306
gave	0.7387174664243079	0.7739955640162007
girl	0.4362205128576167	0.8606459247238248
glass	1.5500871835864207	0.779566999448635
goldfish	0.978450453330535	0.8183058643436268
gong	1.750112616933393	0.5481127128660781
gratitude	0.41574682312943895	0.8722950936550402
green	0.6196003022828285	0.43951895935808377
grew	1.9808306040685553	0.5410667984559764
grief	0.3463746400423741	0.8525166750610333
grievance	1.3286036583298608	0.7005586869766194
guard	0.8505784055185078	0.8262909814958058
guilt	0.33685996622102204	0.8107549796931655
gum	0.7332502747011893	0.6861619428844851
gunshot	1.607626007196131	0.7170142249032687
hailstorm	0.5868413309193135	0.9253954537364424
hair	1.2889064667809078	0.6027774296895408
hairbrush	0.960508803456945	0.7378516898100349
hall	1.6325011943908139	0.5826047500803206
ham	0.9362829894237529	0.674790377726347
hamster	1.0043300644361834	0.509640596700432
hand	0.6543583041217927	0.8393207153726246
handshake	1.1321580794982729	0.6714895541936735
happy	0.790502769482349	0.7805908427854178
harmonica	1.2981580917661313	0.6815750593526
harp	0.8706072805964011	0.7335555780165101
hawk	0.33580658171001215	0.8506869699892102
heavy	1.1204368296237683	0.566763375240536
held	1.232474706016979	0.7130222483041362
helped	1.2560372206552664	0.5980267884471839
heredity	0.8530613490543233	0.5711529856741899
heroism	1.780682178039844	0.5704262131073787
hierarchy	0.7065962208216672	0.5155567227655811
highway	0.866068358993968	0.7665210425500163
hiked	1.2943687258290404	0.7547915669356963
hoe	1.0057444500710637	0.5951705237303659
home	1.139778886082738	0.7938782499590067
honey	1.0872242023862415	0.5592601560411212
honeymoon	0.7822743016636129	0.8062994828520273
hope	0.7473161023881146	0.6770115630819519
horse	1.0317122281574678	0.8017074599999569
hospital	0.6860455281071188	0.7281045817496877
hot	1.3669280115096258	0.5981020752008263
hotel	0.5803814962202304	0.7602834574917308
hurricane	0.546541494394753	0.9017259979025536
hygiene	0.9757345285928701	0.6218090712472694
ice	1.5603085462561983	0.6490721561676838
infinity	1.5837059221344731	0.44385468981636195
injured	0.5312632127696563	0.7521305729064095
insult	0.2942400315387826	0.8919101765377478
intellect	0.9766530428391154	0.745270931945416
interviewed	1.0273153018035823	0.7527988334508107
ire	1.7819032458153967	0.6715365922309853
irony	0.41435789334029904	0.8783904229020294
island	1.4453746728300527	0.48069507600453376
ivy	1.1227110956836532	0.6255113141176343
jam	2.0534349346170906	0.4652833741592277
