	mse	rho
事故	3.6906589826742713	-0.18615631220870485
手风琴	2.977205602363441	0.10199992134927069
激进分子	3.558888793682525	-0.014987304238178107
演员	3.5657249608286943	-0.2673286448711889
优势	3.6685123555556274	-0.05975615835396748
建议	3.3387568937853733	-0.1011953980269858
挑衅的	3.7876647080979993	-0.0469977552904337
协议	3.6726363996234235	-0.1313750259501621
飞机场	3.306459568738305	0.11137977309882288
鳄鱼	3.3797174327684405	-0.06606902704582723
救护车	5.674971280226069	-0.2802092930814426
比喻	2.4814311246705083	0.12023985820755174
生气的	3.017985108851305	0.10277907268362133
敌意	3.9159324949153222	-0.14902521347611566
蚂蚁	3.739001848964288	0.1942875316185397
公寓	3.119063800653745	0.05043789794281067
歉意	2.642172881735762	-0.021301153382009216
掌声	4.782421276029136	-0.024704893071422082
接近	3.3629818388101693	-0.01296960805856097
杏子	2.8584139058581863	0.09345732874745531
手臂	2.8180684919578813	0.15729969479421793
军队	2.138728813559322	0.04789134749846521
被逮捕	3.226186440677966	-0.17482508809249228
艺术家	1.9749807168461528	-0.07376920331080772
芦笋	3.0519471486716268	0.12266024139492827
吃	4.369277522874423	-0.3287426176704175
属性	4.462128181472729	0.1357142582418761
观众	3.5454049227872715	-0.1168913598447963
作者	3.2046327152543053	-0.15962966875781673
雪崩	5.715235149905915	-0.15090479018196024
敬畏	3.2033333502825596	-0.11992939560507457
斧头	3.328870312994423	-0.1053312854558408
风笛	3.6956685483993224	0.04424026929719341
球	2.8895666765969494	0.10393535734544418
香蕉	4.614276091634405	0.005204125371650471
二胡	2.359675966367254	0.14128378106787298
银行家	3.256019334681764	-0.17497301836618165
酒吧	2.040458233889	0.10362500973489248
烧烤	3.021183778318305	0.0799374256464252
棒球	3.745341073549882	0.032663965413016825
战斗	3.7349473153107455	-0.269906561266907
海湾	1.841619607533034	-0.0069927399400647825
海滩	2.749739607901441	0.20312466223719447
床	2.3556554311473903	0.18329350213988718
蜜蜂	2.2970245246705083	0.2166243514138228
啤酒	2.773822967985	0.1341085045538736
打嗝	2.710169468926627	-0.1602368233575118
信仰	3.277551857250542	-0.22026013302024686
铃铛	3.123540336346593	-0.0008878981256254077
自行车	3.706968022975593	0.09561893093858356
大的	3.4445574945386777	0.17841369163199575
鸟	2.5722944727803054	0.2108578550724757
黑色的	2.965202005861475	-0.012147258239579892
被封锁	3.5510129766949152	0.10514434055516701
蓝色	3.2000794491525424	0.03669306086646719
蓝莓	3.5090205510358476	0.08328517983361407
船	2.32167605612061	0.14410174659125197
篝火	2.909472645951101	0.0805095767992908
书	4.0135780161959325	-0.0015732735363314825
买	2.459698717137559	0.09206217387251557
男生	2.625404770244915	-0.051053494965160505
面包	3.65551906779661	0.10581127061000915
贿赂	4.162722457627118	-0.16895875108010489
桥	2.7100187461394403	-0.005199367330250757
西兰花	2.7683994312618476	0.19768932057575508
打破	2.1376082199624067	-0.04943971520043778
号角	2.408304879096119	0.01940654074694788
建造	2.6615254734464067	0.002424346827463671
公共汽车	2.5750469404897114	-0.015185868532667336
商业	2.5528059465160844	-0.11722899315039761
商人	2.005386054614017	-0.12205392689905416
蝴蝶	2.354117127851796	0.2581235745149701
出租车	2.393078381995271	-0.022780622586871666
卷心菜	2.930376617702526	0.08851490977087915
储物柜	2.255480204519847	0.07527579408662645
自助餐厅	2.7783997034288306	0.22992543259394357
骆驼	2.9021905499308307	0.12783407283713244
照相机	3.2311904131355926	0.19552592356918314
汽车	3.1173139565677968	0.010496710345017288
狂欢节	3.7296378428015253	-0.09997461597660537
马车	3.331018098707288	-0.052256171551186906
携带	1.5135958171608817	0.11060928197523497
胡萝卜	3.5136235811073386	0.09754063462226736
现金	2.0595481977401864	0.1780028868339731
大教堂	3.364576267796695	-0.09676059319362967
庆祝	2.6526742218456443	-0.08241962375342468
手机	2.3908285521657966	0.10355166636806666
椅子	3.65926569717522	-0.05368180175663763
奶酪	3.2903766052731367	0.019490623002206525
猎豹	2.1793465307203395	0.09927889319132294
樱桃	3.408858580508474	0.09936553785010252
板栗	2.6914124508475252	0.1740997258359548
鸡	2.6045009205273897	-0.05364927295609706
孩子	2.7220904824859486	-0.14237345331123452
钟声	2.766233499811763	0.01019658500910727
花栗鼠	2.5263090753140673	0.1950071283146941
巧克力	2.9750041240510856	0.0769606269152408
唱诗班	3.3852528171899494	-0.2616271850486387
教会	2.296309296854322	0.01121282577410212
马戏团	2.3602415621827624	-0.12500121824640742
叮当声	2.0862261670916777	0.19759913215218441
单簧管	3.1712805250471527	-0.025788643818518992
聪明的	1.9587949080979998	-0.08297170974454696
云	2.4180036606403728	0.014451787890703423
线索	2.1585498048964915	0.09663537619564316
咖啡	3.4330474452777797	0.05719857154004715
寒冷的	1.7736850158451523	0.12187687703405516
学院	2.385028079096118	0.21164988646378916
梳子	2.6407532568738983	0.1789454834195221
指挥官	2.764049044821187	-0.11634388470524945
公司	2.9369866583804916	-0.028101198878233192
计算机	3.2862713446328304	-0.01225175977490902
开瓶器	3.1853861868174063	-0.1836262169087191
玉米	3.729002016195932	0.059885730073542066
咳嗽	3.0274575435028983	-0.13097983265256888
议会	2.844990540489711	-0.2400579060256826
情侣	2.1029754357816097	-0.2144846036120208
法庭	2.259529292278797	-0.04067805922714063
蔓越莓	2.8740864161959325	0.04166888614485754
婴儿床	2.5090962293786103	-0.03740185889071413
犯罪的	3.3793221785311522	-0.12746732128309002
越过	2.431148865913441	-0.023477568427162778
乌鸦	3.848474450847525	-0.16998313760069755
黄瓜	3.558549919020796	0.06888998807091642
诅咒	2.7586630467044064	0.015351320968073534
气旋	3.028399091148848	-0.22119366901287252
损坏	2.684613862900271	-0.03489807291531732
蒲公英	2.993841925423813	0.17678294490783644
危险的	3.135856986064102	-0.11794769373820206
黑暗的	2.361111006403085	-0.10905801252551209
日子	2.418154428625322	0.1216768098647697
死的	3.8505932203389834	-0.12544925503663665
辩论	4.045932203389831	-0.30845031443961307
欺骗	2.70350288587578	0.002204975054356484
精神失常	2.6207910903955596	-0.20549003643556227
递送	2.3723352715631525	0.03941999191987974
否认	2.0578530824859493	0.09428134183489423
书桌	3.2485687284369824	-0.0012886080363517874
毁坏	2.4451410485876446	-0.17804973595543885
听写	1.950564980791034	-0.11567386697248838
一角钱	2.676760616572576	-0.01830345289304146
晚餐	3.904331599623424	-0.07741771389758471
外交官	3.706854992467101	-0.2890641951196311
医生	3.059190459510423	-0.2674631959489489
狗	2.1530885024482713	0.21520864933625825
海豚	2.863860700941695	0.18537065655337215
门	3.027928377777847	-0.1269290443979303
倾盆大雨	3.2536156666667293	-0.038123230316224055
喝酒	2.2264971084746437	-0.20613085473359058
恐惧	2.21483984369122	-0.11402734931226079
绘画	2.369905855743949	0.09964956438316651
司机	2.9544067175142037	-0.23150440734398228
掉落	2.184802122033983	0.01035161450708246
鼓	2.820131758568813	0.015368345580746522
鸭子	2.4357814037665597	0.18956395655002634
布满灰尘的	3.1517138828625937	-0.07948128870682687
编辑	3.5413748806027114	-0.4002500946535109
蛋	2.447928196986898	0.1384583178178297
茄子	2.8845011408663557	0.1252226844125067
选举	3.2328815039548813	-0.13417996813941688
大象	3.3981545190207965	0.09661240720587673
电梯	2.492184600753373	0.16716634555826573
榆树	2.852787155178983	-0.01910241632199291
大使馆	3.2521846583805085	0.035282715315944714
拥抱	2.6391714467044065	0.1077190235014197
空的	1.7961770218456445	0.14063757256637113
结束	1.9885687080980001	-0.017077500034824618
工程师	3.108380285122491	-0.13941767001292088
嫉妒	2.2993408568738984	-0.07461405230874778
时代	2.3296233009416953	0.0360459312910214
自动扶梯	2.8614877743880167	0.18309454681036488
礼仪	2.7578907804143897	-0.1733471356204327
晚上	2.8485877525424406	0.0825962434009781
借口	1.5487945792844406	0.04683745933628389
昂贵的	1.710903961582	-0.014673962379053404
爆炸	5.081111190583864	-0.3419286443276525
眼睛	2.162523607533034	0.19694710511264518
谬论	2.267627151412508	0.049036299327691796
家庭	2.892711856497237	-0.15733543022255725
著名的	2.3367231966102375	-0.06643194262169344
农场	2.4252165438795594	0.04189667149999018
农民	3.438662772128136	-0.19706833431748857
命运	2.220188468173338	0.12661078807126586
水龙头	3.8856498971752207	0.0850069971804033
害怕	2.317250565348475	0.01846421634007014
羽毛	2.1502070312618304	0.2744558567765032
喂养	2.659962572128119	-0.1568236898268067
费用	2.9635029457627966	0.015955391216560946
栅栏	2.43817358041439	-0.13012772344455073
节日	2.9765538282486608	-0.055012908465797886
小提琴	3.633484007533034	0.007014436211182081
田野	2.027551762335288	0.16380254166070016
手指	2.3170434267420674	0.22853803496589403
烟花	3.28755173634661	-0.04079871765925796
鱼	1.8171940297552545	0.24004753509979898
修理	1.771468914124373	0.13125318665983365
飞翔	3.00508461016956	0.011356314373846398
洪水	4.234218545386136	-0.1460383428576362
花	3.2735402888889658	0.14488937286226555
长笛	3.178135625988779	0.013800388054556198
蠢事	1.67975511600761	0.08261840855146153
脚	2.484576314124373	0.07812452181233887
美式足球	2.078775900941695	0.27657962559133115
森林	3.1978531977401863	-0.03832469503821384
创立	2.62493401054622	-0.1368732848876246
喷泉	2.777137450094237	0.03351684794895683
友好的	3.1522787789077964	-0.16989034509454182
乐趣	2.89934073145017	-0.14977649127961426
葬礼	2.769416166855068	0.012420557241992997
花园	2.839058378907796	0.20591704837043526
喘气	2.3720903389831176	0.009458033466879283
递给	1.983220338983051	0.08099036997546392
女孩	2.6719491525423726	-0.12298139029000534
玻璃	2.5635216625236104	0.04576014131986156
金鱼	2.2769302787194574	0.26897490846115524
锣	3.4568174640302027	-0.20205291847647835
感激	2.6767042922787962	-0.32330475580827517
绿色的	2.3983049785311525	0.06253241003366572
增长	2.7918267868173903	-0.2315059398269615
悲伤	2.6484747175141865	-0.06271642993299445
委屈	2.4248399973635424	0.03947108466831302
警卫	2.579566708851304	0.08044048182901274
内疚	2.4263276790961177	0.03585138997458796
口香糖	2.469604468926627	0.14475755954135366
枪声	5.014180724293864	-0.11883265669673523
冰雹	4.321826639924746	-0.003171499644178677
头发	2.4820337299435766	0.2408534834510157
发刷	2.811468780791017	0.020353286018737076
大厅	3.0100186975518644	0.13875700188567555
火腿	3.3277211894539325	-0.017852327254604356
仓鼠	2.816760809792915	0.21283294926669064
手	2.465574429001966	0.11003138680536893
握手	3.011412546892729	-0.002785036704057924
快乐的	3.303013252354136	-0.04805479332950926
口琴	3.009510406026424	0.0011277976893725845
竖琴	3.3302259265537293	-0.03282434877152002
鹰	2.8344443171375593	-0.007344357034317795
重的	2.532128155555627	-0.016627032939298993
握住	1.8703766301319151	0.1715494906695758
帮助	2.7769115325801184	-0.24322172313548784
遗传	1.9367797762712542	-0.038161223120497065
英雄主义	2.310866456873898	-0.2213218040336595
等级制度	1.9012051902072373	-0.03721009961936082
高速公路	2.8686818391714572	0.24521513073203513
登山	1.5176271186440677	0.12048909017422746
锄头	2.815593249717576	-0.11001983074114988
家	2.8022977160076104	0.02942815137226175
蜂蜜	3.141355835028322	0.037167741460823606
蜜月	2.403691087382373	-0.10157499427194727
希望	2.8940490436912367	-0.05569442697805373
马	2.2787758557439486	0.08989692345773395
医院	2.0322977035782372	0.1403301632856432
热的	1.4001695717514915	0.01398890068121517
酒店	2.5712428406780337	0.07509555405615194
飓风	4.467288196610238	-0.3232336507310965
卫生	2.8224859898305756	-0.0027568978343706528
冰	1.7825635593220341	0.06983154746137306
无限	1.875180084745763	0.17964618173241595
受伤	2.6638985299435767	-0.2272889669579746
侮辱	3.1424860350283046	-0.05972305920255647
智力	2.4603576071563897	-0.05182098822931912
采访	2.9012807397364235	-0.45317062455056933
愤怒	1.7210546854991353	-0.012146523099888284
讽刺	1.5804331431262542	0.10214580832513093
岛	1.622862553295746	-0.03303369700512189
常春藤	2.0496798184558136	0.10627369184452622
果酱	2.0491902775895254	0.08047658969335827
下颌	2.6158003623352886	-0.0033629187777623813
妒忌	2.4738043608287117	-0.05402157925504396
玩笑	1.5031073830509154	0.03857160856479408
记者	2.819095988700644	-0.3566597356196168
愉快	2.583823003013255	-0.11046752780929117
喜悦	3.224331633521729	-0.22306804253709944
法官	3.5310170214689998	-0.24913923367803167
丛林	2.553540534086695	-0.01451465308906436
陪审团	2.419171376647915	-0.1488660980412547
番茄酱	3.1201695141243553	0.120678201471095
钥匙	3.192278790207237	-0.14600245895758282
键盘	3.341789198493474	0.04051776667713947
踢到	2.8843881284369837	-0.20486328554637112
吻	3.0027494109228647	-0.03725067622658152
厨房	2.62408659924678	0.0775752572154618
知识	2.8745575126177627	-0.037772933645031675
实验室	2.2638981175142034	-0.03248131867543939
湖	2.6535029468927287	0.025989867941654254
降落	2.091770241054695	-0.09440240303609457
滑坡	2.1315253920904746	-0.1840505052379696
笑了	3.888982879096118	-0.0716408528018465
法律	2.524293751412508	-0.18915427758597028
律师	2.7294348994351183	-0.2871583994848353
左边	1.51203387344639	0.15465326854554565
腿	2.6000754229755936	0.16656474578006236
合法性	1.4036910580038473	-0.07594525667795585
柠檬汽水	2.0592466380415084	0.26704355384495393
闪电	2.597984954049034	0.03577613705810961
喜欢	1.4388699502825597	0.0432547488573388
豪华轿车	1.9473823205273726	0.23756353899559732
嘴唇	2.1185122459511017	-0.03954799439210884
听	1.828116767985	-0.21256349606351368
居住	1.8232391879473393	-0.23333304823531395
贷款	1.9593597329567625	-0.1093900542987644
孤独的	1.0882297273070338	0.04285078063158507
长	2.0745009634652374	0.15025602480504213
丢失	1.9155744753296438	-0.022885978217273735
响亮的	2.744180726553746	-0.08555707283387537
爱	1.7817326911488642	-0.0966416150987456
运气	1.5210923235405596	-0.0698012418693807
欲望	1.3680602448211694	-0.1249574081423265
杂志	2.1493973178908474	-0.05787592330364164
大众	1.6964406779661017	0.024118090001773076
恶意	1.8320150753296272	-0.02041509884166603
男子	1.9195103902072201	-0.052948624728733726
曼陀林	1.5933521585688137	0.24429093638342167
行进	2.2426150317284237	-0.14198435032674678
午后场	1.4094686019706444	-0.06980437040392999
市长	3.0594119355005938	-0.347240411474884
药品	1.9062487157742884	-0.0064655784990111705
会议	1.6930509548023391	-0.11134164230484611
扩音器	2.2630698252354744	-0.08030900939811912
仁慈	2.1053483465160845	-0.12853772359577784
遇见	1.6945009928437795	-0.07141714365841366
部长	1.83372895367239	0.07295417439117698
暴徒	2.735084770621542	-0.2141513352566286
猴子	1.6545387032015761	0.1859128656584938
驼鹿	2.156572523540559	0.19514334441484893
道德	2.6584558448211695	-0.2021972342546186
早晨	1.8203389887006274	0.09584071837420374
蚊子	3.6938606365349145	-0.12266222583993644
动机	1.728229808662966	-0.1268988058074523
山	2.1287380561206097	0.12599102780294497
老鼠	2.88568771261778	-0.1342619960298641
嘴	1.4866855269303898	0.061582135457953144
肌肉	1.6678530892656103	0.17057829254241966
蘑菇	2.6105083864407455	0.043631690804400165
音乐的	2.400094181544322	-0.1180379437067098
芥末	1.7228625261771016	0.09136504224812779
神秘	1.7776270384181525	-0.08156941838868285
协商	2.2687760489643054	-0.21006617157536814
新的	2.233936060640372	0.1853222793261838
报纸	2.4106592335217285	-0.04993289495649557
夜晚	2.676628733710068	-0.032863136965909964
鼻子	2.469755287759034	0.0149771835249716
名词	1.972203436158254	0.023124473648961225
数字	1.9972880101695762	0.2434015967212951
橡树	2.0984745389831354	0.05424139736039728
办公室	1.6815064843691865	0.18409332289282757
老的	1.814519912994424	-0.017901984263448023
打开	1.5842183453861358	0.04827632197123052
乐观主义	2.3962144858757792	-0.28768226577195327
演说	2.283239161958644	-0.22804347906968775
平底锅	2.1024106606403725	0.1380239936287628
游行	2.2101881619586434	-0.37406733712436163
悖论	0.999303221092356	0.2372965296252741
父母	2.1170243969868814	-0.11042030111612382
公园	2.1842562048964913	-0.0738656536714027
派对	2.164990641054695	-0.10922142927346427
专利	1.934482132580119	-0.0469735881297774
病人	2.0195667698682374	-0.2363480435671767
