	mse	rho
一角钱	4.565035015817292	0.20240436528233283
三文鱼	2.4158212218535553	0.7069862915318205
下颌	2.836081552590537	0.601140241986436
专利	6.836419263581047	0.231689026134048
丛林	1.656311294299163	0.49808464839532535
丢失	4.292138823067825	0.3032438553617877
主题	3.4411770887102606	0.12372433128513907
乌鸦	2.8918669110317503	0.49787353742806806
乌龟	2.8553983179875067	0.4950440809525002
乐观主义	5.354501428524164	0.005499007907840261
乐趣	4.601673517066031	0.6333233482776024
习惯的	5.27531654742885	0.17023246509320758
书	2.750759051188909	0.5429612519483086
书桌	3.71715923845771	0.5225179751055287
买	1.7021615061552031	0.6007689663605541
事故	3.673226572514525	0.7201216375685138
二胡	3.583781122607702	0.3445816257795922
云	4.394285898270966	0.4344586185097156
交响乐	5.797396687659002	0.17069535329363975
仁慈	5.04846476619232	0.34466651804350634
仓鼠	2.8734139518182795	0.46400332206474054
价值	5.772400412671509	0.3184726222142756
企鹅	3.761020163319763	0.4474762947652565
休战	5.51008062530697	0.24686381581402603
优势	5.006837500870282	0.28124447705473754
会议	2.7426361461435653	0.41613058414088744
伪证	7.2292012687141565	-0.024342087909416277
作者	2.6196883662177086	0.36245653237516706
使用	5.27531654742885	0.17023246509320758
侮辱	4.257135023296734	0.47156687987206897
信仰	5.6176922657021535	0.2478836162099842
信任	4.639466143623217	0.4699466376691005
修理	2.619243310718914	0.4325066913500316
借口	4.397145795284425	0.3214532566435086
倾盆大雨	3.2752073516171545	0.13651050686818816
假期	3.757298502854816	0.5272113859740071
偷窃	4.393540409345482	0.3916513400757477
储物柜	3.826440621466207	0.2818358010665056
公共汽车	3.6258078496169244	0.30834894320053424
公司	2.600853505003473	0.5237708567182876
公园	2.649383721305087	0.6666082746037059
公寓	3.640512080698062	0.5705609439704391
内疚	4.454355669205805	0.6146581568972876
写下	3.8366071219011846	0.288980187094085
军队	1.678940835295427	0.5750025622935193
农场	3.870048326122755	0.44185142608198663
农民	3.040153521398753	0.47865051911309514
冬天	3.440304331648301	0.44342112845339876
冰	4.168477313974272	0.38294494083023284
冰雹	2.351231998539117	0.5621656792087124
冷落	3.531097564884363	0.3934649075533754
出租车	3.346610940160338	0.20984172636623616
创立	3.9243636340971486	0.11336198662589562
剧院	3.562623937178624	0.3891089373711291
剪刀	3.341664126531073	0.28084389296202183
力量	4.8588033283847345	0.24323902598081587
办公室	3.003768332446776	0.47668095755407286
动机	5.078082618124053	0.42239976574225707
动物园	2.74210520358857	0.34582951012592
动词	4.498087542701997	-0.1477105501410117
劳动	3.16885579618686	0.16852996928283318
区域	3.107254976804012	0.5576173734574178
医生	4.165923912129448	0.4667056615644192
医院	3.7242338931113226	0.5506314651237452
午后场	3.321727032268221	0.424839612636149
协商	3.4041187529973227	0.3574101292714615
协议	4.592463443237376	0.31883302688999315
单簧管	4.085208823088889	0.3839228459844095
南瓜	4.811180619018273	0.6554019944871883
卡车	3.5581179388723694	0.31501564914573993
卫生	4.813332285931793	0.5491418617829418
危险的	2.32201050651727	0.7053011234266263
卷心菜	3.589435914943146	0.6241292858125534
厨房	2.6650557452448345	0.46834260989509746
去	5.399899399433801	-0.12056718013578747
友好的	6.325012318056022	0.16587467508384532
发刷	1.9806345776419736	0.567569226604549
受伤	3.3214074617076688	0.6768210398941301
受害者	3.505668485829678	0.6132799657474088
口琴	3.880321908888079	0.4501154899601705
口香糖	4.254050767111749	0.45144395771692464
叮当声	7.1282026967767225	-0.39389398234686623
号角	4.101505927197691	0.28955721728296746
司机	2.8797081354800484	0.47097173150396354
吃	2.8627587046465934	0.3852696227021245
合法性	5.597957086035105	0.4428701272620564
同情心	5.826694184191606	0.21468899125014265
名词	5.443367272860316	-0.026155441001989695
否认	6.1060841139250295	0.2192586802579199
听写	3.194746863784682	0.42326254301980937
吻	3.793520296929859	0.43419789747472853
命运	3.8524778518887333	0.27553040522508304
和平	5.813627674869131	0.15978126640905715
咖啡	4.295964915228795	0.4829152829047422
咳嗽	5.778173133473628	-0.11898672335402832
响亮的	4.078904538609162	0.21846726739039937
