	mse	rho
降落	4.063295654614016	0.034536877082849055
被封锁	6.450991790254237	-0.10405120483674107
农民	3.1239080597701903	0.4409316987643897
音乐的	2.0103202527307626	0.7043387454620106
军队	2.0943220338983046	0.23739549740155488
抹刀	2.4861016949152543	0.050666475096429325
重的	5.353653609792916	-0.10810368191633858
监狱	2.8953673514125082	0.5480141243517449
桌子	1.2368582865901034	0.4068043214644586
游客	2.402711761581983	0.25122852793356926
家	3.2255745261771023	0.6583686455459553
买	5.314099914176328	0.1933776491877694
飞翔	3.300000000000069	0.42093776018418533
卷心菜	2.3061955838042203	0.5185902986882388
建议	4.341751287005713	0.3081009852661948
递送	3.8851599393597622	0.3138110163795695
越过	5.789058554049034	-0.1133823687648955
线索	4.614312448964289	0.023483487293229837
芥末	1.9255744821093053	0.3653390065829514
部长	2.318587394350356	0.2160920798625242
受伤	5.348926506214763	-0.057342393564085235
汽车	2.6472292108050848	0.46157306534441356
学校	2.192873626436862	0.37242158736939746
实验室	3.339265317514203	0.4605877992735109
携带	4.155717084957491	0.22354912160478366
数量	3.9798681476460334	0.2440544514259016
愉快	3.136478223352237	0.22247990822572242
强大的	3.830414269303288	-0.223932661106819
年	2.9278343306968813	0.31533710499096895
挑衅的	4.924839925047152	0.14143337915789805
政治家	2.9676955296651033	0.22404292024615313
歉意	3.4644532308883056	0.2715293257883592
敬畏	4.304576316384255	0.20679024568935792
理论	2.6603010659134574	0.3949189691787389
拿	3.239905827495373	0.13001527847393665
喂养	2.9136347212806606	0.6151701694508895
著名的	4.655480210169558	0.3236303300667633
罪	3.306704431261847	0.18870595032035603
曼陀林	2.995555497551864	0.29547099934825055
扩音器	1.69069686252361	0.39142751391317093
茄子	2.3106026154426274	0.4194979221812395
危险的	7.4043315623352886	-0.32678219127316277
读	2.0350574103448964	0.4017011914290663
柑橘	2.7362713412430164	0.5122495667328294
条约	2.376534774764661	0.47134383819001896
冬天	2.1307910045198475	0.2258631673318789
嘴	2.528097740489712	0.30252712651858193
二胡	2.3985507900960683	0.39644412597990647
田野	2.969329304980914	0.43250701417828163
受害者	4.166302580076707	-0.07835784118393929
恳求	3.3654426342750168	0.07800118225909791
火腿	2.6293595047081695	0.5247395631869426
抗议	2.3863840689266267	0.5286547016581552
老的	4.8926555299435766	-0.2036335055144744
接近	6.538792940505085	-0.02304497819753831
学院	3.4854799231639153	0.45727210689328046
居住	2.854312815065983	0.47896206394307894
床	2.010263519282983	0.5459600993776345
帮助	3.296007708851305	0.5351063847344514
火车	2.305819315254322	0.40031305608474416
剧院	1.7306026165725763	0.5859468165345325
乌鸦	3.5241188570881894	0.35302004563365375
外交官	3.0107532026365926	0.38931007541006657
冷落	3.1429003393597794	-0.06667909292738457
钥匙	1.9600754207157118	0.6139533181049871
区域	4.487683329943577	0.08190721720371322
角色	3.3429942101695596	0.13399705953866403
专利	3.030245071563169	0.2433728080492649
名词	6.023716666283587	0.05404979265301661
橡树	3.1836724338983893	0.5107584097216404
数字	3.384971932203474	0.6581288329981712
激进分子	4.3795353790162075	0.09983687737112215
岛	2.092241136346593	0.37245969624628866
酒吧	3.7816445796517124	0.21283027556305048
键盘	2.2207157137477114	0.5847282088198
暴风雨	2.455781415066	0.33405617858612147
菠萝	2.2769730544062066	0.554138223502946
合法性	4.212278874952999	0.15242760720632115
长笛	1.8507344971752206	0.5968584270666872
智力	3.6041994817326612	0.3484752684994963
农场	3.923577964218542	0.1962138349269597
巧克力	2.602605639305322	0.6272160038517667
茶	1.9416948903955424	0.5451452543347773
大的	7.04576650842919	0.1235267833911053
药品	2.649030495435305	0.5487778036970785
街道	2.914124238418152	0.12431213035595987
锣	1.8954407582376207	0.4142837159385491
飓风	2.367344881356	0.43616800410360224
科学家	2.914482121280678	0.27748093737522145
脚趾	3.3383426798494074	0.49840162649285735
洪水	3.304049013182745	0.4955505066509286
寒冷的	5.0198902666926095	-0.21355927631404173
眼睛	3.709529244821169	0.33676769176910687
椅子	1.7478531242938642	0.4712444679476885
郁金香	2.0736160384181526	0.5570110036728325
花	2.763257671939813	0.5237930503476749
冰	3.4094279661016955	0.16946473806372286
猪	2.7299624500942374	0.28993000109364364
手机	1.9992466843691865	0.5093598988705417
优势	5.904162013182746	0.20905828808192453
南瓜	1.7774905498084999	0.5340790453241394
愤怒	2.2613369532957455	0.39661710712825554
号角	2.8482566720307245	0.21721569232361282
修理	2.497231490395559	0.3957298837065593
乐趣	4.719736277212882	-0.06997365106752163
葬礼	2.9202636346516777	0.35861869324499185
店铺	1.9716091977012242	0.358758917155793
法官	2.1532767638418817	0.5161062064729333
走	2.971977476836237	0.15729896121582793
团队	2.0880225593221184	0.5315898966973492
豌豆	58.30888965461401	0.5072037640031171
犯罪的	5.085141202259966	0.2066596018307705
同情心	1.7142374158192712	0.2798431587304758
劳动	1.3787758738230507	0.4370243198064193
早晨	2.9246892293785933	0.29829946541232855
