	mse	rho
accident	4.880338631058591	0.5524589098767636
accordion	2.476479385279044	0.702784087036501
activist	5.119694077590547	0.1509864110817156
actor	2.7462760731926794	0.5429966242221682
advantage	3.3371641061736117	0.4770604881314448
advice	3.220475375806006	0.524043407489023
aggressive	3.4057282336938552	0.3873617209339903
agreement	3.598211628073845	0.6646596462153028
airport	2.5032736293296765	0.5219806058760553
alligator	4.529653996414465	0.10106333373752388
ambulance	4.045322076508589	0.35152437567288375
analogy	2.6195058320705185	0.6214861775381336
angry	5.4340275730051095	0.14644627214359388
animosity	2.643071644822675	0.3700780687683957
ant	3.506550026603733	-0.08779775046253846
apartment	3.5216583214766404	0.3897170689968331
apology	3.204406041252089	0.4182328442258033
applause	2.7608815213357047	0.7192377499968228
approached	2.149754964586549	0.3272328921580672
apricot	5.16491503122839	0.46031306683597817
arm	3.658963533019445	0.3368307247706912
army	3.324977456809544	0.5242844346429447
arrested	2.998149850366284	0.3614990691731975
artist	4.339761365897253	0.6489266908118176
asparagus	3.133137299984171	0.590588929293114
ate	2.7118825628756063	0.6164886266597419
attribute	2.178037100674173	0.3563210628597172
audience	4.493955410167334	0.6208821938855583
author	1.5148188886512377	0.7556056323716893
avalanche	3.0886500766058784	0.6614238320543299
awe	2.7724824801901664	0.5340039333765445
axe	3.088312720953333	0.4113873252958511
bagpipe	3.1613226832913948	0.7160602151571878
ball	2.603170643033267	0.7323581481117721
banana	2.2792541669270165	0.5017755694754252
banjo	5.1129088172224195	0.48790682921233686
banker	2.7191539543353773	0.6407588424351642
bar	4.999198565244515	0.553559709788307
barbecue	3.419118254322734	0.5864765014616661
baseball	3.9485329090504777	0.5417105257420167
battle	3.303856758882158	0.3189291131241752
bay	1.9367484463957358	0.5837828955320232
beach	1.8839317224101924	0.7252638291365037
bed	2.9584440464006927	0.47550853726847253
bee	3.1747024889177955	0.27059582457041353
beer	3.536313679024301	0.46894456305533494
belch	2.4796805902095027	0.3125539150844514
belief	2.146201965953181	0.6701556106856379
bell	2.9984233822094426	0.743649729044889
bicycle	2.887032742247788	0.684925116932554
big	1.6543068371589775	0.3276790991089553
bird	2.938758812837852	0.6601581543364596
black	2.4678523451371537	0.02084368846988101
blocked	2.2163025183040075	0.3190282921063275
blue	2.352900970430686	0.3666506391390134
blueberry	2.3588505124033836	0.5161205638829294
boat	2.739107315730479	0.6018038575534823
bonfire	2.323767978937451	0.47057965441192057
book	3.045486299106509	0.7038173932629375
bought	3.3570743926215165	0.5591087981504285
boy	3.5478605092713242	0.5518633665554608
bread	2.610355047962728	0.7312211487898453
bribe	2.7920685386894624	0.5162864828156459
bridge	4.402936707507423	0.579599221073799
broccoli	2.3975824215854216	0.5806056410772377
broke	4.1081115471811485	0.2834383427477405
bugle	4.288045676895469	0.377365666564457
built	3.0872007763525904	0.5601882399019738
bus	4.2064142321630715	0.43812673085288456
business	3.354813256398449	0.43898804691666515
businessman	3.0056573479976567	0.6615220728306731
butterfly	2.446994333426311	0.4845109841445447
cab	3.7287968903687974	0.48446588271206303
cabbage	2.806118253382523	0.678674398702914
cabinet	2.772909179116549	0.542281260809305
cafeteria	4.153367688655159	0.6377959933404775
camel	2.271831138730995	0.5800388937194024
camera	3.197940077107045	0.7335019488682243
car	3.797981368693752	0.6313712926005417
carnival	2.330856460744381	0.6054016300204311
carriage	3.1698341675898196	0.5184871356294308
carried	2.9060772005263535	0.5213451778058488
carrot	2.4986851130350693	0.6191958847939618
cash	3.47917146487939	0.6590869336162367
cathedral	3.97853502820036	0.5544345473037879
celebrated	6.221972716840203	0.43632166602936434
cellphone	4.2157594620548355	0.7286278026068854
chair	3.7224138226051617	0.4804010572246669
