	mse	rho
accident	5.0503827125423735	-0.2453737415458804
accordion	4.7586390927118645	-0.03135818026634296
activist	4.895126064915255	-0.11174404720411571
actor	4.293088482203389	0.06301419060279734
advantage	7.514786440677967	-0.10161225379724666
advice	4.869327044067798	-0.022040032589770123
aggressive	6.2893939367796605	-0.16772747460047388
agreement	5.472809858813558	-0.0211141092167318
airport	5.305299619830508	-0.08291918244216541
alligator	4.824435895254237	-0.11086756925437623
ambulance	7.0133390942372875	-0.32603676385063807
analogy	4.782025524745763	-0.05984659940137114
angry	5.674876237288136	-0.09577550195478089
animosity	5.376218947288136	-0.24280057241300268
ant	3.513406760677966	0.14694327900030413
apartment	4.826440730508474	0.03543482265404898
apology	4.357626626101694	-0.12714801260619515
applause	5.292805635762713	-0.11998360208017227
approached	4.968008459152542	-0.1753494144810771
apricot	4.729688211694915	-0.05383765619113024
arm	3.6159804149152546	0.251463018945636
army	4.401211847966102	-0.1702258674990437
arrested	3.2627143510169487	0.0204330706143266
artist	6.083236804745762	-0.0009303527077481904
asparagus	3.936014768135593	0.15026496923992966
ate	3.939906803898305	-0.10124428337495571
attribute	6.80072033898305	-0.03489389113198387
audience	3.9677950666101696	-0.03515588022490256
author	4.257203459830508	-0.024837303603586727
avalanche	7.812132563728815	-0.37012935126412283
awe	6.008953861016948	-0.22971261299553708
axe	3.4509502832203394	-0.10850689571492783
bagpipe	5.213001055932204	-0.11971696288889157
ball	4.326201292033898	0.01043120294608495
banana	5.292962225593221	-0.05565233863977635
banjo	5.3138668933898305	-0.08798599349805357
banker	3.531191037627118	-0.06026673204371979
bar	3.1580292813559323	-0.08063307454959141
barbecue	6.017897308305084	-0.12125018962464632
baseball	5.865556815084745	-0.12628816124532186
battle	6.345639969661016	-0.28935261712875243
bay	3.4343191306779657	-0.08382041216887191
beach	5.113196870508475	-0.04401052110741702
bed	5.2357642945762715	-0.1395708793176671
bee	4.168309583389831	0.04260235762204922
beer	4.21596064101695	-0.05139778905154331
belch	5.15382727	-0.14955377883711557
belief	6.0756928355932205	-0.26163883829561857
bell	4.947378682372881	-0.12685328487928138
bicycle	4.482423390508474	0.09558181580076715
big	6.176648475254237	0.08441479727999632
bird	4.980307886779663	0.005371256351408132
black	4.367625876440678	-0.019774511839800234
blocked	3.1926957413559327	-0.12305693506737928
blue	3.9413141916949153	-0.24912232288849676
blueberry	4.814906824237288	-0.03851237434699956
boat	4.051434815762711	-0.06309934389602827
bonfire	3.845976461186441	-0.08335627657101585
book	4.233092957457627	0.1975431405270122
bought	2.5761116444067795	0.10675831807195466
boy	3.734306215423729	0.00304103203736368
bread	4.749073689830508	-0.003092185791768378
bribe	3.810940405423729	-0.058160459280087506
bridge	4.27464086559322	-0.035251545178271636
broccoli	3.7287975901694916	0.05411465127098234
broke	2.7091464262711864	-0.09611636078259625
bugle	4.663176289322034	-0.04741580033240858
built	3.5538899284745757	0.04421193603129997
bus	3.937729295254237	-0.07862644172939076
business	4.586027413559321	-0.11298766101033131
businessman	3.312626140169492	0.01315884321449714
butterfly	4.781433936779662	0.10267402905956113
cab	3.6188719781355934	-0.039161186474470755
cabbage	3.3295060269491525	-0.05030271715456541
cabinet	2.771001421016949	0.053484209925702464
cafeteria	3.435822825593221	0.06432639277131813
camel	3.1426578537288132	-0.0693179951635014
camera	3.938976759661017	0.21387248021600105
car	4.854243281864406	-0.05384691869233808
carnival	5.4791256667796615	-0.1748278520851217
carriage	2.9529627144067794	-0.010686772198501513
carried	4.364491940508473	0.1491595923329307
carrot	5.009039761016949	0.07295238602895977
cash	4.066982532711865	0.17071864467354989
cathedral	3.9935090401694917	-0.080153810949026
celebrated	4.535740415084745	-0.2203077238395949
cellphone	6.25791483779661	0.029458456751855922
chair	3.4171562740677968	0.0959933098691135
cheese	4.328227910338983	0.10384997472085203
cheetah	4.443272219491526	-0.05503266011999373
cherry	4.728048249322035	-0.015151804255985618
chestnut	3.0899723701694923	0.13172816022235231
chicken	3.1223032398305084	-0.09224752448744215
child	5.564847874576271	-0.1272597177395017
chime	4.264761318983051	-0.13605163002535142
chipmunk	5.238423051694914	0.020714227624189452
chocolate	5.854893386271187	-0.046538390125479515
choir	4.96767614322034	-0.04354047192674777
church	4.765531173220339	-0.005664166935890626
circus	5.670870945084746	-0.1169090348094518
clang	6.254995782203389	-0.306888701259229
clarinet	4.81570214440678	-0.06326901435459037
clever	5.428936386949153	-0.03778500560309205
cloud	3.1126358952542375	0.14410599992645837
clue	5.104377376440678	0.018451954372459865
coffee	5.89760252220339	-0.12882592500928375
cold	4.123462478813559	0.11732657401672596
college	5.739474167966102	-0.028382634246410805
comb	3.2309896396610167	0.2919319863146486
commander	4.4596131693220356	-0.04048798361095326
company	4.2426742035593215	-0.04145100736788566
computer	3.813052432372882	0.05137823429329166
corkscrew	3.729471865084746	0.028666240874976136
corn	4.104308738983051	0.0433604665848367
cough	4.468284181525425	-0.3868859754993979
council	2.6648511733898306	0.11239370672972754
couple	4.7681535827118635	0.04991316922994401
court	3.239447804237288	-0.08123082599118964
cranberry	4.28848768	-0.012423528254065133
crib	3.866695545762712	0.07628605349838884
